city,marriage_count,marriage_positive_rate,income_count,income_positive_rate,rent_count,rent_positive_rate
1gsyd,2504,0.5287539936102237,1080,0.23148148148148148,12641,0.4615141207182976
2gmel,3174,0.4703843730308759,1219,0.16981132075471697,13819,0.4347637310948694
3gbri,1033,0.5343659244917716,585,0.22905982905982905,7545,0.451557322730285
4gade,549,0.6211293260473588,249,0.21285140562248997,3216,0.5
5gper,737,0.4816824966078697,404,0.23514851485148514,4278,0.438288920056101
6ghob,131,0.5572519083969466,51,0.2549019607843137,977,0.42988741044012285
7gdar,97,0.422680412371134,56,0.017857142857142856,562,0.26868327402135234
8acte,223,0.6143497757847534,133,0.24812030075187969,1424,0.44803370786516855
