rank,username,totalM,content,created_at,date,time,display_name,favourites_count,followers_count,following_count,reblogs_count,replies_count,sensitive,sentiment,url,class
9,Reuters,14,"<p>The California woman suing Subway, claiming its tuna products contain ingredients other than tuna, wants to end her lawsuit because she is pregnant, prompting Subway to demand her lawyers be sanctioned for bringing a frivolous case <a href=""https://reut.rs/41hZArt"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/41hZArt</span><span class=""invisible""></span></a> <a href=""https://press.coop/tags/press"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>press</span></a></p>",2023-05-09 13:33:00+00:00,2023-05-09,3:33:00,Reuters :press:,0,1171,0,0,0,False,negative,https://press.coop/@Reuters/110338977314347540,mastodon
9,Reuters,14,"<p>The California woman suing Subway, claiming its tuna products contain ingredients other than tuna, wants to end her lawsuit because she is pregnant, prompting Subway to demand her lawyers be sanctioned for bringing a frivolous case <a href=""https://reut.rs/41hZArt"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/41hZArt</span><span class=""invisible""></span></a> <a href=""https://press.coop/tags/press"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>press</span></a></p>",2023-05-09 13:33:00+00:00,2023-05-09,3:33:00,Reuters :press:,0,1738,0,0,0,False,negative,https://press.coop/@Reuters/110338977314347540,mastodon
9,Reuters,14,"<p>On @Breakingviews: The EU’s debt credibility is suffering from rising doubts as well as rising rates, writes @rebeccawire <a href=""https://reut.rs/3B9ZpUv"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/3B9ZpUv</span><span class=""invisible""></span></a> <a href=""https://press.coop/tags/press"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>press</span></a></p>",2023-05-09 13:56:04+00:00,2023-05-09,3:56:04,Reuters :press:,0,1738,0,0,0,False,negative,https://press.coop/@Reuters/110339068040070393,mastodon
9,Reuters,14,"<p>On @Breakingviews: The EU’s debt credibility is suffering from rising doubts as well as rising rates, writes @rebeccawire <a href=""https://reut.rs/3B9ZpUv"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/3B9ZpUv</span><span class=""invisible""></span></a> <a href=""https://press.coop/tags/press"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>press</span></a></p>",2023-05-09 13:56:04+00:00,2023-05-09,3:56:04,Reuters :press:,0,1171,0,0,0,False,negative,https://press.coop/@Reuters/110339068040070393,mastodon
9,Reuters,14,"<p>🔊 Today’s top stories: </p><p>🇲🇽 Authorities say El Chapo’s sons flood the US with fentanyl <br>🇨🇩 Devastating floods kill hundreds in Congo, rescuers say toll could rise </p><p>Listen to Reuters World News with @carmelcrimmins and @cwalljasper <a href=""https://reut.rs/3NR0acA"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/3NR0acA</span><span class=""invisible""></span></a>  <a href=""https://press.coop/tags/press"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>press</span></a></p>",2023-05-09 13:01:03+00:00,2023-05-09,3:01:03,Reuters :press:,0,1171,0,0,0,False,negative,https://press.coop/@Reuters/110338851697577719,mastodon
9,Reuters,14,"<p>Over 5,500 still missing in flood-hit east Congo: local official <a href=""http://reut.rs/42iVKjb"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/42iVKjb</span><span class=""invisible""></span></a>  <a href=""https://press.coop/tags/press"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>press</span></a></p>",2023-05-09 13:05:58+00:00,2023-05-09,3:05:58,Reuters :press:,0,1171,0,0,0,False,negative,https://press.coop/@Reuters/110338871009485639,mastodon
9,Reuters,14,"<p>China's imports contracted sharply in April, while exports rose at a slower pace, reinforcing signs of feeble domestic demand despite the lifting of COVID curbs and heaping pressure on an economy already struggling in the face of cooling global growth <a href=""https://reut.rs/3B75WiF"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/3B75WiF</span><span class=""invisible""></span></a> <a href=""https://press.coop/tags/press"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>press</span></a></p>",2023-05-09 13:06:55+00:00,2023-05-09,3:06:55,Reuters :press:,0,1171,0,0,0,False,negative,https://press.coop/@Reuters/110338874742763117,mastodon
9,Reuters,14,"<p>Killing police officers, torturing rival gunmen, feeding their enemies — sometimes alive — to their pet tigers, according to US and Mexican authorities. Here’s how four sons of ‘El Chapo’ built a ruthless drug trafficking empire <a href=""https://reut.rs/3HTsEhZ"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/3HTsEhZ</span><span class=""invisible""></span></a> @Draz_DJ @specialreports  <a href=""https://press.coop/tags/press"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>press</span></a></p>",2023-05-09 13:08:56+00:00,2023-05-09,3:08:56,Reuters :press:,0,1171,0,0,0,False,negative,https://press.coop/@Reuters/110338882702808353,mastodon
9,Reuters,14,"<p>Russian cruise missiles exploded in the air over Kyiv during a missile strike. Ukraine said its air defenses shot down 23 of 25 missiles, fired chiefly at the capital, and there were no reported casualties <a href=""https://reut.rs/44BHV0V"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/44BHV0V</span><span class=""invisible""></span></a>  <a href=""https://press.coop/tags/press"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>press</span></a></p>",2023-05-09 13:15:59+00:00,2023-05-09,3:15:59,Reuters :press:,0,1171,0,0,0,False,negative,https://press.coop/@Reuters/110338910406404218,mastodon
9,Reuters,14,"<p>Russian cruise missiles exploded in the air over Kyiv during a missile strike. Ukraine said its air defenses shot down 23 of 25 missiles, fired chiefly at the capital, and there were no reported casualties <a href=""https://reut.rs/44BHV0V"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/44BHV0V</span><span class=""invisible""></span></a>  <a href=""https://press.coop/tags/press"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>press</span></a></p>",2023-05-09 13:15:59+00:00,2023-05-09,3:15:59,Reuters :press:,0,1738,0,0,0,False,negative,https://press.coop/@Reuters/110338910406404218,mastodon
